Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
American Tobacco District,35.99479205,-78.90463781810374,American Tobacco Campus,35.99304237196403,-78.90509068965912,Neighborhood
American Tobacco District,35.99479205,-78.90463781810374,Durham Performing Arts Center (DPAC),35.99370105976736,-78.90219045891689,Concert Hall
American Tobacco District,35.99479205,-78.90463781810374,Lucky's Delicatessen,35.99701524628342,-78.90459717257764,Deli / Bodega
American Tobacco District,35.99479205,-78.90463781810374,Pizzeria Toro,35.99699792536753,-78.90371564609923,Pizza Place
American Tobacco District,35.99479205,-78.90463781810374,Viceroy,35.996744177098975,-78.90364961985031,Gastropub
American Tobacco District,35.99479205,-78.90463781810374,Toast,35.99692684708369,-78.9038939667802,Sandwich Place
American Tobacco District,35.99479205,-78.90463781810374,Mateo,35.99696541029861,-78.90484943855901,Tapas Restaurant
American Tobacco District,35.99479205,-78.90463781810374,Nanasteak,35.99367788283662,-78.90287801117223,Bistro
American Tobacco District,35.99479205,-78.90463781810374,Letters Bookshop,35.99619583008316,-78.90299240661346,Bookstore
American Tobacco District,35.99479205,-78.90463781810374,21c Museum Hotel,35.9959681,-78.9018033,Hotel
American Tobacco District,35.99479205,-78.90463781810374,The Parlour,35.99657512589933,-78.90190672123656,Ice Cream Shop
American Tobacco District,35.99479205,-78.90463781810374,Taberna Tapas,35.9964818031513,-78.90343846049369,Tapas Restaurant
American Tobacco District,35.99479205,-78.90463781810374,Hairizon,35.996844936096544,-78.90388497379365,Cosmetics Shop
American Tobacco District,35.99479205,-78.90463781810374,Only Burger,35.99293695143326,-78.90420580532918,Burger Joint
American Tobacco District,35.99479205,-78.90463781810374,Bar Virgile,35.9946899373782,-78.90086783404224,Cocktail Bar
American Tobacco District,35.99479205,-78.90463781810374,Criterion,35.99686130807033,-78.90392589508129,Pub
American Tobacco District,35.99479205,-78.90463781810374,Durham Bulls Athletic Park,35.99153193720473,-78.90472054481506,Baseball Stadium
American Tobacco District,35.99479205,-78.90463781810374,The Exotique,35.995936,-78.90271,Fabric Shop
American Tobacco District,35.99479205,-78.90463781810374,Durham Arts Council,35.99774667343413,-78.90350016747641,Performing Arts Venue
American Tobacco District,35.99479205,-78.90463781810374,Carolina Theatre Of Durham,35.99786067397571,-78.9026372029063,Indie Movie Theater
American Tobacco District,35.99479205,-78.90463781810374,Copa,35.99507,-78.901173,Cuban Restaurant
